Year,Month,Contributions
2016,1,0
2016,2,4
2016,3,2
2016,4,2
2016,5,2
2016,6,7
2016,7,6
2016,8,6
2016,9,3
2016,10,0
2016,11,0
2016,12,7
2017,1,5
2017,2,3
2017,3,17
2017,4,4
2017,5,0
2017,6,4
2017,7,5
2017,8,3
2017,9,14
2017,10,16
2017,11,3
2017,12,11
2018,1,14
2018,2,9
2018,3,3
2018,4,17
2018,5,7
2018,6,2
2018,7,5
2018,8,17
2018,9,14
2018,10,16
2018,11,12
2018,12,50
2019,1,2
2019,2,23
2019,3,20
2019,4,4
2019,5,3
2019,6,21
2019,7,3
2019,8,18
2019,9,11
2019,10,0
2019,11,17
2019,12,3
2020,1,7
2020,2,26
2020,3,10
2020,4,90
2020,5,2
2020,6,1
2020,7,14
2020,8,21
2020,9,59
2020,10,12
2020,11,7
2020,12,12
2021,1,16
2021,2,6
2021,3,17
2021,4,27
2021,5,11
2021,6,14
2021,7,9
2021,8,24
2021,9,41
2021,10,19
2021,11,17
2021,12,12
2022,1,34
2022,2,47
2022,3,76
2022,4,65
2022,5,41
2022,6,43
2022,7,65
2022,8,44
2022,9,61
2022,10,67
2022,11,53
2022,12,43
2023,1,69
2023,2,61
2023,3,68
2023,4,67
2023,5,78
2023,6,74
2023,7,71
2023,8,76
2023,9,76
2023,10,80
2023,11,70
2023,12,71
2024,1,73
2024,2,70
2024,3,75
2024,4,84
2024,5,88
2024,6,88
2024,7,83
2024,8,88
2024,9,85
2024,10,80
2024,11,82
2024,12,85
2025,1,81
2025,2,85
2025,3,85
2025,4,83
2025,5,84
2025,6,84
2025,7,84
2025,8,82
2025,9,79
2025,10,78
2025,11,83
2025,12,86
